INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,824 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\mysql\client.py first seen with mtime 1742313111.7028592
DEBUG 2025-03-19 22:29:24,824 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1742313111.7827325
DEBUG 2025-03-19 22:29:24,825 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1742313111.653346
DEBUG 2025-03-19 22:29:24,825 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1742313111.7190423
DEBUG 2025-03-19 22:29:24,825 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\string.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,825 autoreload File D:\MySQL\.venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1742313111.7712905
DEBUG 2025-03-19 22:29:24,825 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1742313111.6854491
DEBUG 2025-03-19 22:29:24,826 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\functional.py first seen with mtime 1742313111.799156
DEBUG 2025-03-19 22:29:24,826 autoreload File D:\MySQL\.venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1742313111.7851422
DEBUG 2025-03-19 22:29:24,826 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\opcode.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,826 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\typing.py first seen with mtime 1733239650.0
DEBUG 2025-03-19 22:29:24,827 autoreload File D:\MySQL\.venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1742313111.743573
DEBUG 2025-03-19 22:29:24,827 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\timeouts.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,827 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1742313110.7297163
DEBUG 2025-03-19 22:29:24,827 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\mysql\validation.py first seen with mtime 1742313111.7062602
DEBUG 2025-03-19 22:29:24,827 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1742313111.6994069
DEBUG 2025-03-19 22:29:24,827 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1742313111.799156
DEBUG 2025-03-19 22:29:24,828 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\DLLs\select.pyd first seen with mtime 1733239692.0
DEBUG 2025-03-19 22:29:24,828 autoreload File D:\MySQL\.venv\Lib\site-packages\crispy_forms\templatetags\__init__.py first seen with mtime 1742313125.803793
DEBUG 2025-03-19 22:29:24,828 autoreload File D:\MySQL\.venv\Lib\site-packages\django\templatetags\tz.py first seen with mtime 1742313111.787903
DEBUG 2025-03-19 22:29:24,828 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\linecache.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,828 autoreload File D:\MySQL\.venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1742313111.7920597
DEBUG 2025-03-19 22:29:24,828 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\DLLs\_asyncio.pyd first seen with mtime 1733239692.0
DEBUG 2025-03-19 22:29:24,829 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1742313111.7341466
